academy.alex	custommatcher	1.0	-	db8fadf4836f39012608b5fd3cfe09f275bd6cb5
aws.sdk.kotlin	savingsplans-jvm	0.19.0-beta	-	10f109792829b8ffe111a86f95ff65701a45cc59
aws.sdk.kotlin	savingsplans-jvm	0.19.1-beta	-	a5fa95b1e0fa84ee7a8ac8e253cd100eef084c78
aws.sdk.kotlin	savingsplans-jvm	0.19.2-beta	-	566e9c50649bd1c5b15e512fe02d42308d99b537
aws.sdk.kotlin	savingsplans-jvm	0.19.3-beta	-	36cbccae3ec7165f0f6b5b78d8ab09960fc7ab49
aws.sdk.kotlin	savingsplans-jvm	0.19.4-beta	-	833e93bde52098ed03f3111f559815c8082e4e82
aws.sdk.kotlin	savingsplans-jvm	0.19.5-beta	-	d1ef9d2ba34b837e18585a12ebcae5c2b9de85c5
aws.sdk.kotlin	savingsplans-jvm	0.20.0-beta	-	09bdabc6c4c3d4966b988c8fb1fc3131f6b16b40
aws.sdk.kotlin	savingsplans-jvm	0.20.1-beta	-	923e3e815eb25fcea0a9ad9bcd949f224f99c489
aws.sdk.kotlin	savingsplans-jvm	0.20.2-beta	-	4b28e572a184eff7645f9d9e2d43a3a5de7bff06
aws.sdk.kotlin	savingsplans-jvm	0.20.3-beta	-	0ae66802070f3b7d97abb5a7f4e5d328e2a14011
aws.sdk.kotlin	savingsplans-jvm	0.21.0-beta	-	050c0067e75405df540e9e5b7bdd844a148e2b2c
aws.sdk.kotlin	savingsplans-jvm	0.21.1-beta	-	c93d91a3d99a35108e66e48524550297bb967006
aws.sdk.kotlin	savingsplans-jvm	0.21.2-beta	-	5efc8417574d7c649c1a8fd89f2b60781a7d7c67
aws.sdk.kotlin	savingsplans-jvm	0.21.3-beta	-	48ac537c2ecba0fcfa658030921cbc921427aa32
aws.sdk.kotlin	savingsplans-jvm	0.21.4-beta	-	d58db59fe7f58bdad42d3c3596867a5059243235
aws.sdk.kotlin	savingsplans-jvm	0.21.5-beta	-	01619b44332989e707f2d4cefc6e591a0878c7bc
aws.sdk.kotlin	savingsplans-jvm	0.22.0-beta	-	853dd2c514b8204f55984600d6a6d403ed63d2e7
aws.sdk.kotlin	savingsplans-jvm	0.22.1-beta	-	eefe631b81574885affa90813b2e51da6ce9d243
aws.sdk.kotlin	savingsplans-jvm	0.23.0-beta	-	834826040ce6b5db3b17e2f625cc585fe1e4d1ce
aws.sdk.kotlin	savingsplans-jvm	0.24.0-beta	-	0c117d7bc8f0a95bb34b8750ac3d73a48de601ca
aws.sdk.kotlin	savingsplans-jvm	0.25.0-beta	-	58c61a77f9f98196256dbfc830232bd74229c698
aws.sdk.kotlin	savingsplans-jvm	0.26.0-beta	-	9bcbf061666c4732c6bacc65c0816cf93ae901b6
aws.sdk.kotlin	savingsplans-jvm	0.26.1-beta	-	aea14fcfafe9a5cec52ced82e840860da1ed46b4
aws.sdk.kotlin	savingsplans-jvm	0.27.0-beta	-	4b2f9827a9f70bcd2bcb0fc25032c4d1ebebad10
aws.sdk.kotlin	savingsplans-jvm	0.27.1-beta	-	ccfe3e66f2043ccdaca260c55c30b921e2473f89
aws.sdk.kotlin	savingsplans-jvm	0.27.2-beta	-	f63b8589a34e1248027025949f0f1b339e00e7fd
aws.sdk.kotlin	savingsplans-jvm	0.28.0-beta	-	3c440d53c7965408d01fba0af56f4c2e6ac8befa
aws.sdk.kotlin	savingsplans-jvm	0.28.1-beta	-	741a61f03181f4edab96fdb8087f527a1f518902
aws.sdk.kotlin	savingsplans-jvm	0.28.2-beta	-	5732502223070573809489420419a5ade5df08b4
aws.sdk.kotlin	savingsplans-jvm	0.29.0-beta	-	f3a8dab9dbe2397e5a94fd5258c37cce319a04cd
aws.sdk.kotlin	savingsplans-jvm	0.29.1-beta	-	10264fda9c98cca0657e5a3e103ec2d87a287d76
aws.sdk.kotlin	savingsplans-jvm	0.30.0-beta	-	b36993abbb3887e6d8b594f6ac6c06d06bd4b2de
aws.sdk.kotlin	savingsplans-jvm	0.30.1-beta	-	9639ece3546693540f5bb2324ca8bf001a106de4
aws.sdk.kotlin	savingsplans-jvm	0.31.0-beta	-	cf6d45307b3e47fa19d16eac345b375eef9d6ce1
aws.sdk.kotlin	savingsplans-jvm	0.32.0-beta	-	7b1cf8946e17b67dd956b22312f3a8a89ce007a2
aws.sdk.kotlin	savingsplans-jvm	0.32.1-beta	-	bdbfc8a3941eba97c169a40a33108f4c36613e5e
aws.sdk.kotlin	savingsplans-jvm	0.32.2-beta	-	2e32cb08b316503919f209fd9d6f3d2eab1e0df9
aws.sdk.kotlin	savingsplans-jvm	0.32.3-beta	-	94af40ec4d864a296469793545effc7f31d590aa
aws.sdk.kotlin	savingsplans-jvm	0.32.4-beta	-	ed5623d68913d93b7a73a5685092bd03498d42bc
aws.sdk.kotlin	savingsplans-jvm	0.32.5-beta	-	78fd631a69660cdad7c5e49a6a6ee3cb52942791
aws.sdk.kotlin	savingsplans-jvm	0.33.0-beta	-	3cf9178a4ed4e801ed92cfdb0206e61f5dd4f2bf
aws.sdk.kotlin	savingsplans-jvm	0.33.1-beta	-	b4a415c530c303fad50a7ea9ba15204835581f40
aws.sdk.kotlin	savingsplans-jvm	0.34.0-beta	-	beb4c777081acc20ae7dae583e4ae181feb55786
aws.sdk.kotlin	savingsplans-jvm	0.34.1-beta	-	b34f305d5bf29c519a5f12e85c39d8dea4519415
aws.sdk.kotlin	savingsplans-jvm	0.34.2-beta	-	5d9e7c260cfb314a97d8445491cb23723c36cbc7
aws.sdk.kotlin	savingsplans-jvm	0.34.3-beta	-	080eedca856ba0f12b5ac0bb2d9ca4ff10f6aee3
aws.sdk.kotlin	savingsplans-jvm	0.34.4-beta	-	ccc25f5c2b7a6cbb705007cc8ee6006e2a39fb7d
aws.sdk.kotlin	savingsplans-jvm	0.34.5-beta	-	3d0abe794f52f9c542bdf4f5fbb7a2a3e5c1378b
aws.sdk.kotlin	savingsplans-jvm	0.34.6-beta	-	18942a5577890ee8aad1324588db3eb8ce006c6b
aws.sdk.kotlin	savingsplans-jvm	0.34.7-beta	-	c6e16a5349f6432d9ac233e2e30e5c32df2f38be
aws.sdk.kotlin	savingsplans-jvm	0.34.8-beta	-	21fb0fe4a137ff0a9fb0be7e5c76a93d640c9a88
aws.sdk.kotlin	savingsplans-jvm	0.34.9-beta	-	1bf990104910f6bdec84d25b194f46723321b51e
aws.sdk.kotlin	savingsplans-jvm	0.35.0-beta	-	a82b209b0e6fc7d3be9bd065e5886ea33a11b966
aws.sdk.kotlin	savingsplans-jvm	0.35.1-beta	-	7f53498adeda77e6693d73a6d8aa67afd8229e5a
aws.sdk.kotlin	savingsplans-jvm	0.36.0-beta	-	007c0fcf673b1b259df09029d56206d2836de7ee
aws.sdk.kotlin	savingsplans-jvm	0.36.1-beta	-	13e7970fb9a2af76cc9beeea10b4a834ae201f45
aws.sdk.kotlin	savingsplans-jvm	1.0.0	-	4f511166b6f993b6b1fc3e25ab41454a14350cf0
aws.sdk.kotlin	savingsplans-jvm	1.0.1	-	9c4962a137b46745466a9b0f294202edcc68c529
aws.sdk.kotlin	savingsplans-jvm	1.0.10	-	35df197c8079df28d8d9dddb5d2cc55e066ffe89
aws.sdk.kotlin	savingsplans-jvm	1.0.11	-	a6d56542e88df9938c69567554a52a7d013a60c7
aws.sdk.kotlin	savingsplans-jvm	1.0.12	-	a64c995455897da9c3b3d9ce5612b8b58f650e89
aws.sdk.kotlin	savingsplans-jvm	1.0.13	-	d96be7c14131650ab1ded48328d1849f869de1fe
aws.sdk.kotlin	savingsplans-jvm	1.0.14	-	9e476a933cac142c3b083e7bdd81b356cc0c9f94
aws.sdk.kotlin	savingsplans-jvm	1.0.15	-	b08c59f3abe333994ac2c56455ab232fd91042be
aws.sdk.kotlin	savingsplans-jvm	1.0.16	-	d032229cde33c5551375cae91f7969d27fa33d5b
aws.sdk.kotlin	savingsplans-jvm	1.0.17	-	6ccecea94ddce450f3dea7aa25ccc61aaa2e79a2
aws.sdk.kotlin	savingsplans-jvm	1.0.18	-	3cca8c15dab61cf667f2890e1cc2b0096504dcea
aws.sdk.kotlin	savingsplans-jvm	1.0.19	-	bb73641e78891795c9aa097840c56fd69d9fccbd
aws.sdk.kotlin	savingsplans-jvm	1.0.2	-	b74039865fe04ce491bd4df7f5f1cf28a234fbcf
aws.sdk.kotlin	savingsplans-jvm	1.0.20	-	5e9adfedcd51a8777fac03da22ad38b300846166
aws.sdk.kotlin	savingsplans-jvm	1.0.21	-	ed6c47e6305a64ec33a6f274eae937ea6f9ccee1
aws.sdk.kotlin	savingsplans-jvm	1.0.22	-	1364f569076bb2571bedc162f2082340679ffadb
aws.sdk.kotlin	savingsplans-jvm	1.0.23	-	69a32e3f5bd60b05c3613566cdec1b427261d89d
aws.sdk.kotlin	savingsplans-jvm	1.0.24	-	0686bfafe5ec1633365f1a5046e795d09ad238c3
aws.sdk.kotlin	savingsplans-jvm	1.0.25	-	31932596aa929c0810e56b7651c30d534fad98f1
aws.sdk.kotlin	savingsplans-jvm	1.0.26	-	e30373af70439be2db4f350b9f9802b24c9cfeb1
aws.sdk.kotlin	savingsplans-jvm	1.0.27	-	866219851eed5ef39c79dd976e92675c9bdf5ad1
aws.sdk.kotlin	savingsplans-jvm	1.0.28	-	4ce3526d6ee3eed763f69da4caee048f60ee4f09
aws.sdk.kotlin	savingsplans-jvm	1.0.29	-	c8da347bd6219e2ef30d0dd7cbf6fe7d026a7f4c
aws.sdk.kotlin	savingsplans-jvm	1.0.3	-	4f97284941f2839c7aa41cd6fb57656da81cfb31
aws.sdk.kotlin	savingsplans-jvm	1.0.30	-	89bfbeae78831eda6c534ce39c0fce187edd7c59
aws.sdk.kotlin	savingsplans-jvm	1.0.31	-	7aeecf64d3a451f03cd6bd966ca9023d50724e46
aws.sdk.kotlin	savingsplans-jvm	1.0.32	-	a831d502cc5ce028dca8882297b748d41f478897
aws.sdk.kotlin	savingsplans-jvm	1.0.33	-	d08a55313958f286744bf6f72b8da7f6cdef8c05
aws.sdk.kotlin	savingsplans-jvm	1.0.34	-	f5068933943ca9c79bda11df0e1bc72b5603aca1
aws.sdk.kotlin	savingsplans-jvm	1.0.35	-	2196e921a5f56c6a39ef11aac666ae8e1fe08762
aws.sdk.kotlin	savingsplans-jvm	1.0.36	-	55f67d84e6607ac3b42545de9620b2b8e19fc855
aws.sdk.kotlin	savingsplans-jvm	1.0.37	-	27988e151467d837a6fc2f3ad98430b819bc82bb
aws.sdk.kotlin	savingsplans-jvm	1.0.38	-	74e5d0231d85a142bee45a97146d0f5d6685af2b
aws.sdk.kotlin	savingsplans-jvm	1.0.39	-	6c42071dce2933ffd7a7d86e3e6604d8f2b40c8e
aws.sdk.kotlin	savingsplans-jvm	1.0.4	-	ae9c5a498c2ec6ebf09e042c8e455e7ba746eaeb
aws.sdk.kotlin	savingsplans-jvm	1.0.40	-	a28bc25a8a0ede283e0f0cefdbc3927c62524fef
aws.sdk.kotlin	savingsplans-jvm	1.0.41	-	675a424fbfab34e58414a3ef2bbc4bb33dcd3ca9
aws.sdk.kotlin	savingsplans-jvm	1.0.42	-	e02de6a5c0122c28db986b55366e7848357e1a83
aws.sdk.kotlin	savingsplans-jvm	1.0.43	-	3475761dca3f6677c5a48a052bb25ee3c815329f
aws.sdk.kotlin	savingsplans-jvm	1.0.44	-	b7fbd681dfa216f2d715da08ae464c115796a7ac
aws.sdk.kotlin	savingsplans-jvm	1.0.45	-	2ee9a7f58e41ad0419eead64bd0f739842d37ba4
aws.sdk.kotlin	savingsplans-jvm	1.0.46	-	eff7080964a9c73c21575f3520b0766107541c51
aws.sdk.kotlin	savingsplans-jvm	1.0.47	-	70b4200b35425bd0157e16e7d8ad7fd07605ac0c
aws.sdk.kotlin	savingsplans-jvm	1.0.48	-	36ee2693c74c9e50a2b96c1db8b154da6ee9f4d5
aws.sdk.kotlin	savingsplans-jvm	1.0.49	-	a5be6370bf39e0a460744b204b0128b7c9f435ed
aws.sdk.kotlin	savingsplans-jvm	1.0.5	-	74ec7d0d5fc24dd30d61b63f6c58fa929845c790
aws.sdk.kotlin	savingsplans-jvm	1.0.50	-	c3de2507c051c3db3304209f2d76cf40b3153379
aws.sdk.kotlin	savingsplans-jvm	1.0.51	-	305c74405dfde6e4ad176aab7679086146b51220
aws.sdk.kotlin	savingsplans-jvm	1.0.52	-	a88443bb28febecf6564e5688bf5f77b80c65256
aws.sdk.kotlin	savingsplans-jvm	1.0.53	-	3f94f6833aed279ab0c7c6b3cdd80c08ff1a0eeb
aws.sdk.kotlin	savingsplans-jvm	1.0.54	-	30994049a3e63f13730bfa5535f2deb457f83a11
aws.sdk.kotlin	savingsplans-jvm	1.0.55	-	cc90d085d47738f3841e2e887aaea030a0acd938
aws.sdk.kotlin	savingsplans-jvm	1.0.56	-	a98f90d30413ea6f0889b5e99a8ac206c949e9fb
aws.sdk.kotlin	savingsplans-jvm	1.0.57	-	8d5ad013b54105b09eed94e5085404e12657c6e2
aws.sdk.kotlin	savingsplans-jvm	1.0.58	-	8bcfdb946a850776624a1c25c1e1e0b78ae58a74
aws.sdk.kotlin	savingsplans-jvm	1.0.59	-	2a42d99ef1e5b3b5e370c3cbc0cfadf4e2696f55
aws.sdk.kotlin	savingsplans-jvm	1.0.6	-	c758a9fa1c2825419fe8cc824ee276c122f84e0a
aws.sdk.kotlin	savingsplans-jvm	1.0.60	-	cb0f7a4a26ee2b394256a5f1ed28f8b2375feb90
aws.sdk.kotlin	savingsplans-jvm	1.0.61	-	46b716dfab94fe1602adb1a869cc39ffd1f9dadc
aws.sdk.kotlin	savingsplans-jvm	1.0.62	-	19d5f987032c268c30c732881d0726e170a27121
aws.sdk.kotlin	savingsplans-jvm	1.0.63	-	306b076ece1d7f1e781c16cb21cebb0ec761a533
aws.sdk.kotlin	savingsplans-jvm	1.0.64	-	2791304f6313c92ae91ea02559c2c1e2c9738ff7
aws.sdk.kotlin	savingsplans-jvm	1.0.65	-	bd87cf9f4138b6379937f78132b303037922afb8
aws.sdk.kotlin	savingsplans-jvm	1.0.66	-	c0d04849f948e976e2a64c30e81b2d684482875b
aws.sdk.kotlin	savingsplans-jvm	1.0.67	-	a0c17dcbdf0a77aee644305dd48c46163733a019
aws.sdk.kotlin	savingsplans-jvm	1.0.68	-	aae16c4884692684275ba6974008f21ac89e14e6
aws.sdk.kotlin	savingsplans-jvm	1.0.69	-	b60ae6e350d47524f673f058cd15272faced5272
aws.sdk.kotlin	savingsplans-jvm	1.0.7	-	a55bdeb3c954b92ed04d6959010634698446618f
aws.sdk.kotlin	savingsplans-jvm	1.0.70	-	7145eeb9ada12a3515f2b8dcc66955bdf76f1807
aws.sdk.kotlin	savingsplans-jvm	1.0.71	-	bdb6fc031a87a65e77d718dad38dc7c437880e86
aws.sdk.kotlin	savingsplans-jvm	1.0.72	-	dc822cc2a415aef6c2b2d52dacfb75c654299a21
aws.sdk.kotlin	savingsplans-jvm	1.0.73	-	3d27c8be693e6228e6f8f8be759155c81b4b93b0
aws.sdk.kotlin	savingsplans-jvm	1.0.74	-	c3974b01569b91030f09a84e18ee6912e47ac386
aws.sdk.kotlin	savingsplans-jvm	1.0.75	-	62129d7f1b2a8603d6bcfde5a18a8f847e08f063
aws.sdk.kotlin	savingsplans-jvm	1.0.76	-	ef8ca5fd74fd4a46e617d6ca02f94bd79e2f2aa5
aws.sdk.kotlin	savingsplans-jvm	1.0.77	-	139de7f040839c1fe9909712f06eebedd9ecdeba
aws.sdk.kotlin	savingsplans-jvm	1.0.78	-	ab26a530f7943ae0de36b89f9951ee8dec309d1c
aws.sdk.kotlin	savingsplans-jvm	1.0.79	-	4f1ec96f9b9d063e5c70d8e43848ee6b93c753ec
aws.sdk.kotlin	savingsplans-jvm	1.0.8	-	9642cdf2b33e567aa3d16b2a2cb009499072bc33
aws.sdk.kotlin	savingsplans-jvm	1.0.80	-	dfe2e20fe56bd20e405d73bac5e332749ac4296f
aws.sdk.kotlin	savingsplans-jvm	1.0.9	-	22abf1a807a2b43c52f32583bd72e2091b4ff14f
aws.sdk.kotlin	savingsplans-jvm	1.1.0	-	143a287bc611559ee59040878220a07ffc0e04cb
aws.sdk.kotlin	savingsplans-jvm	1.1.1	-	8663926051133ad8c1bfb0cac92703db34c329f8
aws.sdk.kotlin	savingsplans-jvm	1.1.10	-	be5c938b0638067e40bfe362b86a8a62100bc0d1
aws.sdk.kotlin	savingsplans-jvm	1.1.11	-	e066a198cc157bca2481f8f7f0466458d8cd1653
aws.sdk.kotlin	savingsplans-jvm	1.1.12	-	76fd6b9835b9d51805468cadc2dec865a843072a
aws.sdk.kotlin	savingsplans-jvm	1.1.13	-	1881dfada89c9babc581ace2b7e482d60fa0e899
aws.sdk.kotlin	savingsplans-jvm	1.1.15	-	4126d309c9399b3a3e860b60ceee83e3a013f325
aws.sdk.kotlin	savingsplans-jvm	1.1.16	-	c1aa227d5e06dd8b8cf6a8cd437870e435484dcd
aws.sdk.kotlin	savingsplans-jvm	1.1.17	-	47651e9fbecfc3fb88c9e5d7f5f11cdd63c3e3cd
aws.sdk.kotlin	savingsplans-jvm	1.1.18	-	3f0803020b79ae170db884e0de89b153fa7da5fb
aws.sdk.kotlin	savingsplans-jvm	1.1.19	-	decd578cb6539da6bf1fda7f650705618a2d52b5
aws.sdk.kotlin	savingsplans-jvm	1.1.2	-	239e1ef6989e1c1a5749a751e17556237d08523c
aws.sdk.kotlin	savingsplans-jvm	1.1.20	-	88ee53a06d9fb92cfc016ad25b0f315c732f66d5
aws.sdk.kotlin	savingsplans-jvm	1.1.21	-	356c4d3ea2256e617c7733b5f1d8f7b25c0143c8
aws.sdk.kotlin	savingsplans-jvm	1.1.22	-	869c6c45c42048661b38275d6e94fa28fac1c6ea
